name,maxHp,hp,baseShield,atkCoef
Slime,50,30,20,1
Goblin,20,20,0,1
SlimeGoblin,50,50,0,1

NOP_NORMAL_1,15,15,0,1
NOP_ELITE_1,30,30,10,1
NOP_BOSS_1,100,100,20,1

FOREST_1,40,40,0,0.8
FOREST_2,20,20,0,1.1
FOREST_3,50,50,10,0.6
FOREST_4,40,40,30,0.6
FOREST_5,5,5,0,1
FOREST_6,90,90,0,1
FOREST_7,90,60,0,1
FOREST_8,90,90,5,1.1
FOREST_9,40,40,0,1.5
FOREST_10,130,130,0,1
FOREST_11,130,130,0,1
FOREST_12,80,80,0,1.2
FOREST_13,140,140,20,0.8
FOREST_14,45,45,0,2.5
FOREST_15,60,60,0,2.2
FOREST_16,60,60,0,1.2
FOREST_17,150,150,10,1.2
FOREST_18,180,180,20,1.5
FOREST_19,300,300,0,1

name,maxHp,hp,baseShield,atkCoef
FROST_1,120,120,30,0.6
FROST_2,40,40,20,2.0
FROST_3,140,140,40,0.5
FROST_4,160,160,60,0.5
FROST_5,110,110,30,0.6
FROST_6,180,180,80,0.4
FROST_7,150,150,70,0.5
FROST_8,200,200,90,0.4
FROST_9,130,130,50,0.6
FROST_10,220,220,100,0.3
FROST_11,50,50,200,1

DESERT_1,40,40,0,0.7
DESERT_2,30,30,0,0.8
DESERT_3,35,35,5,0.7
DESERT_4,50,50,5,0.9
DESERT_5,100,100,0,0.8
DESERT_6,80,80,10,1
DESERT_7,120,120,5,0.9
DESERT_8,30,30,10,2
DESERT_9,10,10,5,4
DESERT_10,80,80,10,1.0
DESERT_11,80,80,5,0.9
DESERT_12,90,90,15,1.1
DESERT_13,150,150,10,1.0

OCEAN_1,20,20,0,1.0
OCEAN_2,30,30,5,0.8
OCEAN_3,40,40,0,1.2
OCEAN_4,90,90,10,0.8
OCEAN_5,100,100,0,1.3
OCEAN_6,110,110,15,0.9
OCEAN_7,120,120,0,1.4
OCEAN_8,130,130,20,0.8
OCEAN_9,140,140,0,1.5
OCEAN_10,150,150,25,0.7
OCEAN_11,160,160,0,1.6
OCEAN_12,170,170,30,0.9
OCEAN_13,180,180,0,1.7
OCEAN_14,200,200,35,0.8
OCEAN_15,220,220,0,1.8

name,maxHp,hp,baseShield,atkCoef
RUINS_1,25,25,0,0.9
RUINS_2,30,30,0,1.0
RUINS_3,28,28,0,1.1
RUINS_4,35,35,0,1.2
RUINS_5,40,40,0,1.0
RUINS_6,32,32,0,1.3
RUINS_7,45,45,5,1.2
RUINS_8,38,38,0,1.4
RUINS_9,50,50,0,1.1
RUINS_10,42,42,0,1.5
RUINS_11,55,55,0,1.2
RUINS_12,48,48,0,1.6
RUINS_13,60,60,5,1.3
RUINS_14,52,52,0,1.4
RUINS_15,65,65,0,1.5
RUINS_16,58,58,0,1.6
RUINS_17,70,70,5,1.4

VOID_1,100,100,0,1
VOID_2,120,120,0,1
VOID_3,140,140,0,1
VOID_4,160,160,0,1
VOID_5,180,180,0,1
VOID_6,200,200,0,1
VOID_7,250,250,0,1

VOLCANO_1,60,60,0,0.9
VOLCANO_2,70,70,0,1.4
VOLCANO_3,80,80,0,0.6
VOLCANO_4,90,90,0,1.2
VOLCANO_5,100,100,0,1.0
VOLCANO_6,110,110,0,1.5
VOLCANO_7,120,120,0,0.7
VOLCANO_8,130,130,0,1.3
VOLCANO_9,140,140,0,0.8
VOLCANO_10,150,150,0,1.1
VOLCANO_11,160,160,0,0.5
VOLCANO_12,170,170,0,1.4
VOLCANO_13,180,180,0,0.9
VOLCANO_14,190,190,0,1.2
VOLCANO_15,200,200,0,1.0
VOLCANO_16,220,220,0,1.3
VOLCANO_17,240,240,0,0.7
VOLCANO_18,260,260,0,1.5
VOLCANO_19,280,280,0,0.8
VOLCANO_20,300,300,0,1.1

GOBLIN,50,50,0,0

Summon_0,5,5,5,0.5
Summon_1,5,5,10,1.5
Summon_2,20,20,50,0.3
Summon_3,35,35,0,1
Summon_4,80,80,0,0.2
Summon_5,50,50,10,1
Summon_6,1,1,30,1.1
Summon_7,50,50,20,1.3
Summon_8,5,5,15,1.8
Summon_9,10,10,50,1.3
Summon_10,15,15,90,3
BoneGolem,10,10,0,1
