nodeId,nodeType,posX,posY,connectedIds
0,Cleared,-800,0,1;2
1,Cleared,-620,130,4;5;7
2,Cleared,-710,-230,3;6
3,Cleared,-450,-140,12
4,Cleared,-390,40,10;11
5,Cleared,-570,380,7;8
6,Cleared,-450,-370,12;13
7,Cleared,-310,280,8;10
8,Cleared,-110,450,9
9,Cleared,210,440,10
10,Cleared,100,220,17
11,Cleared,-150,-50,10;16;18
12,Cleared,-180,-300,11;14
13,Cleared,-230,-450,14
14,Cleared,220,-430,15
15,Cleared,630,-220,21
16,Cleared,200,-200,19
17,Cleared,400,250,19
18,Cleared,160,20,17
19,Cleared,450,-80,20
20,Cleared,680,180,21
21,Cleared,820,-40,50
