key,ko,en,ja
btn_new_game,새로하기,New Game,新しく始める
btn_continue,이어하기,Continue,続きから
btn_exit,종료하기,Exit,終了
btn_rune,룬 연구소,1,1
btn_skip_reward,스킵,1,1
btn_get_reward,선택,1,1
btn_click_continue,아무 곳이나 클릭하여 계속,1,1
btn_select_continue,캐릭터 생성,1,1
btn_end_turn,턴 종료
change_language,언어,Language,言語
rune_frost_name,설원룬,1,1
rune_frost_desc,마나를 증가시킵니다,1,1
rune_FROST_0level,설원맵 클리어 필요,1,1
rune_forest_name,수풀룬,1,1
rune_forest_desc,1,1,1
rune_FOREST_0level,수풀맵 클리어 필요,1,1
rune_ocean_name,바다룬,1,1
rune_ocean_desc,1,1,1
rune_OCEAN_0level,바다맵 클리어 필요,1,1
rune_desert_name,사막룬,1,1
rune_desert_desc,1,1,1
rune_DESERT_0level,사막맵 클리어 필요,1,1
rune_volcano_name,화산룬,1,1
rune_volcano_desc,1,1,1
rune_VOLCANO_0level,화산맵 클리어 필요
rune_ruins_name,묘지룬,1,1
rune_ruins_desc,1,1,1
rune_RUINS_0level,묘지맵 클리어 필요,1,1
rune_void_name,공허룬,1,1
rune_void_desc,1,1,1
rune_VOID_0level,공허맵 클리어 필요
shop_sale,방금 전이랑 가격이 다르다고? 그건 네 착각이야,1,1
shop_random_1,너같이 재능이 없어도 내 카드만 있으면 몬스터쯤은 쓸어버릴 수 있지,1,1
shop_random_2,살 때는 비싸도 안 사면 두고두고 후회하는 법이야,1,1
shop_random_3,난 바가지를 잘 씌운다고. 그게 상인의 덕목이지,1,1
shop_random_4,빈 주머니면 구경도 사치야. 저리 가,1,1
shop_random_5,이걸 사면 너도 잠깐은 소환사 흉내쯤은 낼 수 있을 거야,1,1
shop_random_6,이 가게에선 돈이 많을수록 카드도 비싸져. 공평하지?,1,1
shop_random_7,1억을 들고 와도 여기 있는 전부는 못 사,1,1 
shop_buyrandom_1,이렇게 호구 잡히는 손님 오랜만이네,1,1
shop_buyrandom_2,한 번 쓰고 나면 알게 될 거야. 왜 비쌌는지 말이지,1,1
shop_buyrandom_3,너무 무리하는 거 아니야?,1,1
shop_buyrandom_4,너무 과했어 친구. 그 카드가 널 구할 거란 보장은 없거든,1,1
shop_buyrandom_5,그 카드 진짜 필요한 순간에 나와주면 좋겠네,1,1
shop_nomoney,돈이 부족해
shop_buy_btn,구매
shop_delete_card,파쇄
shop_delete_desc,덱에서 카드 1장을 삭제
passive_type,[패시브],1,1
scroll_type,[스크롤],1,1
action_type,[액티브],1,1

character_0,소환술사\n여러 소환수를 소환해 전투를 이끄는 마법사,1,1

MapDesc_0,동굴을 나왔더니...
MapDesc_forest_1,빽빽한 수풀 속에서 바람이 스친다
MapDesc_forest_2,맵 효과 :\n수풀속의 몬스터는 매턴 hp를 회복한다
MapDesc_frost_1,얼음이 가득하다
MapDesc_frost_2,맵 효과 :\n매턴 50% 확률로 아군/적군이\n 추가마나를 얻는다
MapDesc_ocean_1,바다가 보인다
MapDesc_ocean_2,맵 효과 :\n높은 티어의 카드를 얻을 확률이 증가한다
MapDesc_desert_1,모래 바람이 불어온다
MapDesc_desert_2,맵 효과 :\n아군/적군의 회피율이 소량 상승한다
MapDesc_volcano_1,화산이 보인다
MapDesc_volcano_2,맵 효과 :\n아군/적군이 화상 상태이상을 가진다
MapDesc_ruins_1,시체들이 돌아다닌다
MapDesc_ruins_2,맵 효과 :\n보호막이 부식된다 \n매턴 일정 보호막이 감소한다
MapDesc_void_1,주변이 어둡다
MapDesc_void_2,맵 효과 :\n아군/적군이 공허독에 잠식되어 \n매턴 최대체력을 잃는다

BattlePreview_DeckBtn,덱 보기,1,1
BattlePreview_nothing,특수능력 없음,1,1
BattlePreview_specialAbility,특수능력
Summon,소환,1,1
enemy_Slime,슬라임,1,1
fireball_name,파이어볼,1,1
fireball_desc,{Damage} 데미지를 입힌다,1,1

stun_name,무력화
atk_up_name,무기 강화
atk_down_name,약화
inc_dmg_name,급소 노출
draw_name,카드 뽑기
shield_up_name,수호
shield_name,보호막
atk_name,공격
down_dmg_name,방어 태세

stun_desc_1,적 하나를 다음 2번의 공격 동안 기절
stun_desc_2,적 하나를 1턴 동안 기절
stun_desc_3,모든 적을 다음 2번의 공격 동안 기절
stun_desc_4,모든 적을 1턴 동안 기절
atk_up_desc_1,아군 하나의 공격력이 다음 3번의 공격 동안 {outgoingDamageAdd} 증가
atk_up_desc_2,아군 하나의 공격력이 다음 3번의 공격 동안 [outgoingDamageMultiple]% 증가
atk_up_desc_3,아군 하나의 공격력이 1턴 동안 {outgoingDamageAdd} 증가
atk_up_desc_4,아군 하나의 공격력이 1턴 동안 [outgoingDamageMultiple]% 증가
atk_up_desc_5,모든 아군의 공격력이 [outgoingDamageMultiple]% 증가
atk_down_desc_1,적 하나의 공격력이 다음 3번의 공격 동안 [outgoingDamageMultiple]% 감소
atk_down_desc_2,적 하나의 공격력이 1턴 동안 [outgoingDamageMultiple]% 감소
inc_dmg_desc_1,적 하나가 다음 3번의 공격 동안 받는 피해 [incomingDamage]% 증가
inc_dmg_desc_2,적 하나가 2턴 동안 받는 피해 [incomingDamage]% 증가
inc_dmg_desc_3,모든 적이 항상 받는 피해 [incomingDamage]% 증가
draw_desc_1,덱에서 1장 드로우
draw_desc_2,덱에서 2장 드로우
shield_up_desc_1,보호막 카드 사용 시 추가로 {outgoingShieldAdd} 획득
shield_up_desc_2,보호막 카드 사용 시 추가로 [outgoingShieldMultiple]% 획득
shield_desc_1,아군 하나에게 {Shield} 보호막 부여
shield_desc_2,아군 하나에게 {Shield} 보호막 부여
shield_desc_3,모든 아군에게 {Shield} 보호막 부여
atk_desc_1,적 하나에게 {Damage} 피해
atk_desc_2,적 하나에게 {Damage} 피해
atk_desc_3,모든 적에게 {Damage} 피해
down_dmg_desc_1,아군 하나가 2턴 동안 받는 피해 [incomingDamage]% 감소
down_dmg_desc_2,아군 하나가 다음 3번의 공격 동안 받는 피해 [incomingDamage]% 감소

heart_name,생명의 심장
dice_attack_name,다이스 어택
gamblers_coin_name,도박꾼의 동전
absolute_luck_name,절대 행운
max_mana_name,마나 샘
potion_name,엘릭서
agility_name,민첩성
rage_name,분노 물약
clearbuffwithapply_name,천사의 정화
clearbuffwithoutapply_name,악마의 정화
drawhightiercard_name,희귀한 선택
cardcosttoint_name,카드 변환

heart_desc_1,모든 아군의 최대 체력 {MaxHPAdd} 증가
heart_desc_2,모든 아군의 최대 체력 {MaxHPAdd} 증가 매 턴 {turnAddHp} 회복
dice_attack_desc,적 하나에게 1~6 무작위 피해
gamblers_coin_desc,50% 확률로 다음 공격 피해 2배 또는 0배
absolute_luck_desc,불운을 겪지 않음
agility_desc_1,모든 아군의 민첩 [agility]% 증가
agility_desc_2,아군 하나의 민첩이 1턴 동안 민첩 [agility]% 증가
agility_desc_3,아군 하나가 다음 2번의 공격을 받는 동안 민첩 [agility]% 증가
max_mana_desc_1,최대 마나 {addMana} 증가
potion_desc_1,아군 하나의 체력 {Heal} 회복
potion_desc_2,모든 아군의 체력 {Heal} 회복
rage_desc,플레이어가 분노 상태를 획득
